Month,Cocoa,Maize,Rice,,,,,,,,,,,
01/12/2022,2456.23,302.24,444.23,,,,,,,,,,,
01/11/2022,2380.8,320.93,416.32,,,,,,,,,,,
01/10/2022,2243.63,343.55,416.1,,,,,,,,,,,
01/09/2022,"2,220.21",312.55,426.82,,,,,,,,,,,
01/08/2022,"2,270.10",293.93,411.09,,,,,,,,,,,
01/07/2022,"2,239.40",312.68,412.48,,,,,,,,,,,
01/06/2022,"2,323.12",335.72,434.18,,,,,,"2,220.21",,,,,
01/05/2022,"2,363.87",344.91,425.27,,,,,,"2,239.40",,,,,
01/04/2022,"2,457.38",348.51,415.76,,,,,,2243.63,,,,,
01/03/2022,"2,459.40",335.93,419.43,,,,,,"2,270.10",,,,,276.72
01/02/2022,"2,551.33",292.67,410,,,,,,"2,323.12",,,,,292.67
01/01/2022,"2,467.36",276.72,397,,,,,,"2,363.87",,,,,293.93
,,,,,,,,,2380.8,,,,,302.24
,,,,,,,,,2456.23,,,,,312.55
,,,,,,,,,"2,457.38",,,,,312.68
,,,,,,,,,"2,459.40",,,,,320.93
,,,,,,,,,"2,467.36",,,,,335.72
,,,,,,,,,"2,551.33",,,,,335.93
,,,,,,,,,,,,,,343.55
,,,,,,,,,,,,,,344.91
,,,,,,,,,,,,,,348.51
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
