Year	Energy from renewable & waste sources	Total energy consumption of primary fuels and equivalents	Percent	Fraction from renewable sources and waste	Hydroelectric power	"Wind, wave, tidal"	Solar photovoltaic	Geothermal aquifers	Landfill gas	Sewage gas	Biogas from autogen	Municipal solid waste (MSW)	Poultry litter	Straw	Wood	Charcoal	Liquid bio-fuels	Bioethanol	Biodiesel	Biomass	Cross-boundary Adjustment
1990	1.647	225.532	0.730273309	0.007	0.448	0.001	0	0.001	0.08	0.138	0	0.183	0	0.007	0.687	0.039	0	0	0	0.065	0
1991	1.634	231.288	0.706478503	0.007	0.398	0.001	0	0.001	0.105	0.151	0	0.185	0	0.007	0.687	0.036	0	0	0	0.065	0
1992	1.843	228.696	0.805873299	0.008	0.467	0.003	0	0.001	0.155	0.151	0	0.21	0.016	0.007	0.736	0.033	0	0	0	0.065	0
1993	1.862	231.368	0.804778535	0.008	0.37	0.019	0	0.001	0.162	0.158	0	0.268	0.043	0.007	0.736	0.034	0	0	0	0.065	0
1994	2.528	230.739	1.095610192	0.011	0.438	0.03	0	0.001	0.188	0.17	0	0.385	0.101	0.007	1.108	0.034	0	0	0	0.065	0
1995	2.644	230.886	1.145153885	0.011	0.416	0.034	0	0.001	0.199	0.193	0	0.411	0.101	0.007	1.182	0.035	0	0	0	0.065	0
1996	2.581	243.392	1.060429266	0.011	0.292	0.042	0	0.001	0.249	0.193	0	0.396	0.101	0.007	1.194	0.041	0	0	0	0.065	0
1997	2.611	240.756	1.08450049	0.011	0.378	0.057	0	0.001	0.317	0.192	0	0.465	0.101	0.007	0.991	0.038	0	0	0	0.065	0
1998	3.013	246.79	1.220876048	0.012	0.44	0.075	0	0.001	0.402	0.181	0	0.649	0.112	0.007	1.077	0.04	0	0	0	0.029	0
1999	3.148	246.112	1.279092446	0.013	0.459	0.073	0	0.001	0.572	0.189	0	0.633	0.148	0.007	0.959	0.033	0	0	0	0.074	0
2000	3.164	248.037	1.275616138	0.013	0.437	0.081	0	0.001	0.731	0.169	0	0.678	0.159	0.015	0.766	0.036	0	0	0	0.09	0
2001	3.27	252.807	1.293476842	0.013	0.348	0.083	0	0.001	0.836	0.168	0	0.731	0.199	0.076	0.716	0.033	0	0	0	0.078	0
2002	3.575	244.98	1.4593028	0.015	0.412	0.108	0	0.001	0.892	0.174	0	0.795	0.195	0.061	0.716	0.035	0	0	0.002	0.183	0
2003	3.802	248.011	1.53299652	0.015	0.278	0.111	0	0.001	1.088	0.165	0.003	0.816	0.181	0.085	0.719	0.037	0	0	0.016	0.301	0
2004	4.407	249.249	1.768111407	0.018	0.418	0.166	0	0.001	1.327	0.177	0.005	0.79	0.164	0.08	0.778	0.04	0.011	0	0.017	0.434	0
2005	5.026	249.704	2.012783135	0.02	0.423	0.25	0.001	0.001	1.421	0.206	0.005	0.794	0.158	0.071	1.019	0.036	0.173	0.048	0.027	0.393	0.001
2006	5.38	243.557	2.208928505	0.022	0.395	0.363	0.001	0.001	1.465	0.19	0.006	0.856	0.147	0.075	0.992	0.035	0.202	0.054	0.139	0.458	0.003
2007	5.579	239.041	2.333909246	0.023	0.437	0.453	0.001	0.001	1.547	0.211	0.007	0.882	0.152	0.071	0.96	0.034	0.06	0.086	0.285	0.386	0.006
2008	6.463	235.284	2.746893116	0.027	0.442	0.612	0.001	0.001	1.554	0.23	0.009	0.91	0.179	0.079	1.206	0.031	0.028	0.116	0.729	0.322	0.013
2009	7.258	220.872	3.286066138	0.033	0.45	0.798	0.002	0.001	1.626	0.249	0.016	1.089	0.176	0.076	1.214	0.033	0.014	0.18	0.859	0.462	0.014
2010	7.94	227.221	3.494395324	0.035	0.309	0.884	0.003	0.001	1.725	0.295	0.043	1.093	0.182	0.086	1.398	0.05	0.016	0.356	0.862	0.622	0.015
2011	8.846	213.972	4.134185781	0.041	0.489	1.373	0.021	0.001	1.758	0.318	0.088	1.087	0.212	0.08	1.537	0.048	0.016	0.367	0.765	0.674	0.014
2012	9.523	216.058	4.407612771	0.044	0.457	1.707	0.116	0.001	1.722	0.306	0.177	1.26	0.196	0.092	1.811	0.049	0.049	0.463	0.522	0.586	0.011
2013	11.238	213.781	5.256781473	0.053	0.4	2.442	0.173	0.001	1.711	0.32	0.252	1.182	0.207	0.105	2.518	0.082	0.055	0.492	0.63	0.657	0.012
2014	13.332	202.499	6.583736216	0.066	0.51	2.748	0.349	0.001	1.664	0.343	0.367	1.464	0.208	0.129	3.133	0.082	0.003	0.468	0.785	1.064	0.013
2015	16.075	203.941	7.882181611	0.079	0.54	3.463	0.648	0.001	1.612	0.366	0.522	1.952	0.222	0.167	4.166	0.08	0.004	0.461	0.554	1.308	0.01
2016	16.75	202.261	8.28137901	0.083	0.46	3.195	0.894	0.001	1.556	0.387	0.761	2.392	0.227	0.247	4.164	0.053	0.001	0.452	0.586	1.365	0.009
2017	18.656	197.273	9.456945451	0.095	0.51	4.268	0.985	0.001	1.419	0.398	0.925	2.561	0.216	0.261	4.236	0.089	0.001	0.452	0.574	1.751	0.009
2018	21.034	198.125	10.61652997	0.106	0.47	4.893	1.089	0.001	1.298	0.407	0.982	2.932	0.214	0.259	4.913	0.107	0	0.445	0.939	2.071	0.013
2019	22.871	192.5	11.88103896	0.119	0.5	5.485	1.082	0.001	1.202	0.434	1.016	3.255	0.222	0.335	5.37	0.068	0	0.443	1.319	2.121	0.018
2020	24.472	169.439	14.44295587	0.144	0.58	6.481	1.131	0.001	1.16	0.44	1.021	3.367	0.223	0.338	5.478	0.074	0	0.359	1.335	2.469	0.017
